"Date","Steps","Distance (km)","Elevation (m)","Calories"
"2015-12-31","8334","6.55","0","600"
"2015-12-30","1498","1.12","0","140"
"2015-12-29","2528","1.92","0","221"
"2015-12-28","41","0.03","0","5"
"2015-12-27","6644","5.13","0","492"
"2015-12-26","901","0.73","0","69"
"2015-12-25","1813","1.35","0","206"
"2015-12-24","4846","3.79","0","399"
"2015-12-23","5760","4.61","0","436"
"2015-12-22","6733","5.55","0","519"
"2015-12-21","10368","8.76","0","729"
"2015-12-20","2319","1.80","0","174"
"2015-12-19","2406","1.86","0","179"
"2015-12-18","5630","4.65","0","427"
"2015-12-17","5966","4.55","0","472"
"2015-12-16","8442","6.90","0","603"
"2015-12-15","2767","2.39","0","227"
"2015-12-14","3825","3.09","0","313"
"2015-12-13","5541","4.54","0","407"
"2015-12-12","4264","3.57","0","343"
"2015-12-11","7735","6.23","0","609"
"2015-12-10","18840","15.23","0","1311"
"2015-12-09","26645","21.77","0","1772"
"2015-12-08","8755","7.08","0","621"
"2015-12-07","8611","6.81","0","605"
"2015-12-06","16672","14.23","0","1137"
"2015-12-05","11610","9.61","0","787"
"2015-12-04","5763","4.68","0","423"
"2015-12-03","9247","7.55","0","642"
"2015-12-02","7096","5.61","0","564"
"2015-12-01","2967","2.27","0","247"
"2015-11-30","7312","6.53","0","617"
"2015-11-29","2523","2.02","0","199"
"2015-11-28","6007","4.91","0","393"
"2015-11-27","6359","5.38","0","491"
"2015-11-26","5374","4.24","0","403"
"2015-11-25","7417","6.04","0","506"
"2015-11-24","6051","4.99","0","428"
"2015-11-23","806","0.60","0","88"
"2015-11-22","1832","1.44","0","138"
"2015-11-21","3077","2.35","0","275"
"2015-11-20","5419","4.58","0","482"
"2015-11-19","5397","4.44","0","386"
"2015-11-18","8018","6.47","0","556"
"2015-11-17","7664","6.41","0","547"
"2015-11-16","5020","4.13","0","355"
"2015-11-15","851","0.63","0","93"
"2015-11-14","9150","7.60","0","634"
"2015-11-13","5340","4.21","0","408"
"2015-11-12","7331","5.95","0","518"
"2015-11-11","10782","8.64","0","759"
"2015-11-10","10313","8.22","0","755"
"2015-11-09","9548","7.82","0","662"
"2015-11-08","6346","5.09","0","445"
"2015-11-07","560","0.42","0","65"
"2015-11-06","5307","4.34","0","386"
"2015-11-05","4798","3.80","0","391"
"2015-11-04","7431","6.08","0","568"
"2015-11-03","6699","5.33","0","535"
"2015-11-02","4693","3.67","0","352"
"2015-11-01","4287","3.45","0","351"
"2015-10-31","7364","6.18","0","568"
"2015-10-30","7284","5.96","0","642"
"2015-10-29","7958","6.22","0","737"
"2015-10-28","9297","7.17","0","1067"
"2015-10-27","8238","6.59","0","840"
"2015-10-26","7763","6.65","0","702"
"2015-10-25","4354","3.33","0","494"
"2015-10-24","2662","1.99","0","401"
"2015-10-23","6633","5.14","0","707"
"2015-10-22","6807","5.34","0","671"
"2015-10-21","10846","9.19","0","1032"
"2015-10-20","6901","5.51","0","689"
"2015-10-19","2571","2.10","0","230"
"2015-10-18","107","0.08","0","28"
"2015-10-17","4455","3.38","0","508"
"2015-10-16","3182","2.62","0","305"
"2015-10-15","6326","4.88","0","750"
"2015-10-14","11242","8.99","0","1056"
"2015-10-13","4291","3.36","0","426"
"2015-10-12","5175","4.20","0","485"
"2015-10-11","1022","0.76","0","206"
"2015-10-10","0","0.00","0","0"
"2015-10-09","9780","7.87","0","892"
"2015-10-08","2908","2.22","0","367"
"2015-10-07","2935","2.39","0","275"
"2015-10-06","9165","7.33","0","854"
"2015-10-05","3202","2.56","0","288"
"2015-10-04","3935","3.02","0","524"
"2015-10-03","0","0.00","0","0"
"2015-10-02","3078","2.47","0","305"
"2015-10-01","2898","2.27","0","294"
"2015-09-30","7583","6.11","0","705"
"2015-09-29","10561","8.21","0","1089"
"2015-09-28","9075","7.28","0","790"
"2015-09-27","3162","2.35","0","442"
"2015-09-26","5667","4.56","0","623"
"2015-09-25","3862","2.98","0","391"
"2015-09-24","6442","4.94","0","657"
"2015-09-23","5198","4.19","0","585"
"2015-09-22","5641","4.55","0","547"
"2015-09-21","10119","8.19","0","897"
"2015-09-20","2160","1.61","0","339"
"2015-09-19","7704","6.44","0","745"
"2015-09-18","4475","3.40","0","449"
"2015-09-17","4103","3.36","0","388"
"2015-09-16","5822","4.60","0","608"
"2015-09-15","5743","4.65","0","619"
"2015-09-14","4068","3.27","0","438"
"2015-09-13","1791","1.33","0","278"
"2015-09-12","13138","10.45","0","1258"
"2015-09-11","9412","7.43","0","826"
"2015-09-10","7867","6.17","0","797"
"2015-09-09","9450","7.31","0","990"
"2015-09-08","1875","1.49","0","221"
"2015-09-07","5556","4.31","0","573"
"2015-09-06","14","0.01","0","4"
"2015-09-05","8184","6.37","0","950"
"2015-09-04","4483","3.62","0","485"
"2015-09-03","11735","9.51","0","1219"
"2015-09-02","5818","4.53","0","635"
"2015-09-01","5918","4.54","0","708"
"2015-08-31","10385","8.01","0","995"
"2015-08-30","189","0.14","0","51"
"2015-08-29","1305","0.97","0","146"
"2015-08-28","10805","8.26","0","1347"
"2015-08-27","4912","3.74","0","626"
"2015-08-26","4989","3.78","0","610"
"2015-08-25","2983","2.22","0","390"
"2015-08-24","8444","6.71","0","953"
"2015-08-23","3016","2.25","0","442"
"2015-08-22","2769","2.09","0","344"
"2015-08-21","12826","10.36","0","1130"
"2015-08-20","7719","5.94","0","798"
"2015-08-19","5246","4.22","0","639"
"2015-08-18","5728","4.49","0","606"
"2015-08-17","6236","5.09","0","615"
"2015-08-16","9190","7.17","0","904"
"2015-08-15","148","0.11","0","47"
"2015-08-14","2621","2.08","0","289"
"2015-08-13","7946","6.10","0","866"
"2015-08-12","13949","10.65","0","1597"
"2015-08-11","164","0.12","0","45"
"2015-08-10","8406","6.64","0","924"
"2015-08-09","16445","12.82","0","1461"
"2015-08-08","37","0.03","0","8"
"2015-08-07","4235","3.31","0","544"
"2015-08-06","6828","5.69","0","671"
"2015-08-05","5763","4.53","0","528"
"2015-08-04","7023","5.40","0","856"
"2015-08-03","5306","4.09","0","551"
"2015-08-02","7542","6.14","0","664"
"2015-08-01","118","0.09","0","16"
"2015-07-31","13443","10.76","0","1338"
"2015-07-30","799","0.60","0","105"
"2015-07-29","4445","3.89","0","477"
"2015-07-28","8876","7.41","0","674"
"2015-07-27","3955","3.21","0","386"
"2015-07-26","6554","5.83","0","557"
"2015-07-25","26891","25.55","0","2456"
"2015-07-24","16692","13.34","0","1175"
"2015-07-23","6230","5.06","0","443"
"2015-07-22","13900","13.01","0","1311"
"2015-07-21","7814","6.87","0","751"
"2015-07-20","9498","8.60","0","854"
"2015-07-19","6647","5.53","0","504"
"2015-07-18","4928","3.73","0","427"
"2015-07-17","9698","8.18","0","791"
"2015-07-16","12544","10.30","0","879"
"2015-07-15","9114","8.64","0","790"
"2015-07-14","10188","9.97","0","863"
"2015-07-13","10072","9.25","0","991"
"2015-07-12","7523","6.58","0","696"
"2015-07-11","1231","0.92","0","139"
"2015-07-10","5163","4.00","0","475"
"2015-07-09","10393","7.87","0","882"
"2015-07-08","11845","9.35","0","910"
"2015-07-07","8600","6.80","0","674"
"2015-07-06","6677","5.09","0","689"
"2015-07-05","8295","6.62","0","635"
"2015-07-04","9409","7.50","0","734"
"2015-07-03","10047","8.02","0","760"
"2015-07-02","8267","6.51","0","665"
"2015-07-01","10622","8.64","0","883"
"2015-06-30","5373","4.24","0","461"
"2015-06-29","25767","20.87","0","2014"
"2015-06-28","8393","6.66","0","681"
"2015-06-27","9709","7.60","0","709"
"2015-06-26","8142","6.79","0","658"
"2015-06-25","11294","9.63","0","827"
"2015-06-24","10528","8.71","0","753"
"2015-06-23","9147","7.55","0","652"
"2015-06-22","10134","8.52","0","778"
"2015-06-21","4040","3.46","0","288"
"2015-06-20","10603","8.89","0","812"
"2015-06-19","12932","11.18","0","932"
"2015-06-18","11374","10.03","0","858"
"2015-06-17","14136","12.62","0","1025"
"2015-06-16","12298","10.27","0","927"
"2015-06-15","9760","7.45","0","820"
"2015-06-14","3560","2.73","0","327"
"2015-06-13","10022","8.33","0","1027"
"2015-06-12","21983","18.31","0","1539"
"2015-06-11","34229","27.10","0","2323"
"2015-06-10","7683","6.27","0","775"
"2015-06-09","5803","4.76","0","826"
"2015-06-08","10980","10.19","0","999"
"2015-06-07","5157","4.53","0","437"
"2015-06-06","2098","1.56","0","201"
"2015-06-05","6728","5.65","0","690"
"2015-06-04","8300","6.45","0","883"
"2015-06-03","3361","2.59","0","340"
"2015-06-02","2513","2.01","0","203"
"2015-06-01","5656","4.50","0","475"
"2015-05-31","4206","3.19","0","435"
"2015-05-30","3066","2.31","0","286"
"2015-05-29","7736","6.27","0","608"
"2015-05-28","6213","4.85","0","525"
"2015-05-27","10301","7.87","0","1292"
"2015-05-26","10320","8.01","0","1189"
"2015-05-25","5429","4.08","0","524"
"2015-05-24","4555","4.09","0","624"
"2015-05-23","4360","3.33","0","600"
"2015-05-22","4498","3.37","0","593"
"2015-05-21","7572","5.98","0","668"
"2015-05-20","8391","6.55","0","818"
"2015-05-19","4682","3.70","0","351"
"2015-05-18","3753","2.96","0","310"
"2015-05-17","8211","6.54","0","710"
"2015-05-16","4103","3.07","0","389"
"2015-05-15","339","0.25","0","36"
"2015-05-14","2467","1.87","0","242"
"2015-05-13","5528","4.33","0","442"
"2015-05-12","6757","5.51","0","494"
